site,latitude,longitude,x,y
BQ9,51.4659832746662,0.184877126994369,45,28
BT4,51.552476,-0.258089,16,19
BY7,51.405546,0.018882,34,35
BL0,51.522287,-0.125848,25,23
CE2,51.493492,-0.149906,23,26
CT2,51.5145253362314,-0.104515626337876,26,24
CT3,51.513847178423,-0.077765681752,28,24
GB0,51.4563,0.085606,39,29
GN0,51.490532,0.074003,38,26
GN3,51.486957,0.095111,39,27
GN6,51.4937746695818,0.0107796237032558,34,26
GR8,51.486884,0.017901,32,27
GR9,51.456357,0.040725,36,30
HP1,51.4496728960354,-0.0374153592115306,30,31
HV1,51.520787459334,0.205460705694044,47,23
KF1,51.5210467476039,-0.213492139585065,19,23
LW5,51.4795312838203,-0.0252606031340197,31,28
MR8,51.5225093597419,-0.154622154656843,23,23
NM2,51.537598,-0.002138,33,22
NM3,51.514727,0.014554,34,24
SK6,51.4931557048667,-0.101527038274853,26,26
SK8,51.5013906712066,-0.0782034373606952,28,25
SK9,51.4804994936467,-0.0595528932573422,29,27
SKA,51.4965604167321,-0.0530504472531612,29,26
SKB,51.4735803479615,-0.0877818536754426,27,28
SKC,51.442633,-0.077653974,28,31
ST5,51.389286904505,-0.141661524779893,23,37
TD5,51.4252560360937,-0.345608290872898,10,33
TH4,51.5150461674013,-0.00841849265642741,32,24
TL5,51.508198,0.015002152,34,25
WM0,51.494681,-0.131938,24,25
WMD,51.4922482333024,-0.147114752900186,24,26
